Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
81,31.0,27.0,21.0,23.0,25.0,22.0,24.0,28.0,23.0,23.0,23.0,20.0,21.0,23.0,29.0,21.0,20.0,24.0,24.0,22.0,23.0,26.0,26.0,20.0,24.0,23.0,24.0,28.0,24.0,23.0,24.0,19.0,24.0,24.0,19.0,25.0,20.0,22.0,27.0,22.0,23.525,2.692
82,31.0,27.0,21.0,23.0,25.0,22.0,24.0,28.0,23.0,23.0,23.0,20.0,21.0,23.0,28.0,21.0,20.0,24.0,24.0,22.0,23.0,26.0,25.0,20.0,24.0,23.0,24.0,28.0,24.0,23.0,24.0,19.0,24.0,24.0,19.0,25.0,20.0,22.0,27.0,22.0,23.475,2.627
83,31.0,27.0,21.0,23.0,25.0,22.0,24.0,28.0,23.0,23.0,23.0,20.0,21.0,23.0,28.0,20.0,20.0,24.0,24.0,22.0,23.0,26.0,25.0,20.0,23.0,23.0,24.0,28.0,24.0,23.0,24.0,19.0,24.0,24.0,19.0,25.0,20.0,22.0,27.0,22.0,23.425,2.654
84,30.0,27.0,21.0,23.0,25.0,22.0,24.0,28.0,23.0,23.0,23.0,20.0,21.0,23.0,28.0,20.0,20.0,24.0,24.0,22.0,23.0,26.0,25.0,19.0,23.0,23.0,23.0,28.0,24.0,23.0,24.0,19.0,24.0,24.0,18.0,25.0,20.0,22.0,27.0,22.0,23.325,2.668
85,30.0,27.0,21.0,23.0,25.0,22.0,24.0,28.0,23.0,23.0,23.0,20.0,21.0,23.0,28.0,20.0,20.0,24.0,24.0,22.0,23.0,26.0,25.0,19.0,23.0,23.0,23.0,28.0,24.0,23.0,24.0,19.0,24.0,24.0,18.0,25.0,20.0,22.0,27.0,22.0,23.325,2.668
86,30.0,27.0,21.0,23.0,25.0,22.0,24.0,28.0,23.0,23.0,23.0,20.0,21.0,23.0,28.0,20.0,20.0,24.0,24.0,22.0,23.0,26.0,25.0,19.0,23.0,23.0,23.0,28.0,24.0,23.0,24.0,19.0,24.0,24.0,18.0,25.0,20.0,22.0,26.0,22.0,23.3,2.638
87,30.0,27.0,21.0,23.0,25.0,22.0,24.0,28.0,23.0,23.0,23.0,20.0,21.0,23.0,28.0,20.0,20.0,24.0,24.0,22.0,23.0,25.0,25.0,19.0,23.0,23.0,23.0,28.0,24.0,23.0,24.0,19.0,24.0,24.0,18.0,25.0,20.0,22.0,26.0,22.0,23.275,2.617
88,30.0,27.0,21.0,23.0,25.0,22.0,24.0,28.0,23.0,23.0,23.0,20.0,21.0,23.0,28.0,20.0,20.0,24.0,24.0,22.0,22.0,25.0,25.0,19.0,23.0,23.0,23.0,28.0,24.0,23.0,24.0,19.0,23.0,24.0,18.0,25.0,20.0,22.0,26.0,22.0,23.225,2.622
89,30.0,27.0,21.0,23.0,25.0,22.0,22.0,28.0,23.0,23.0,23.0,20.0,21.0,23.0,28.0,20.0,20.0,24.0,24.0,22.0,22.0,25.0,25.0,19.0,23.0,23.0,23.0,28.0,24.0,23.0,24.0,19.0,23.0,24.0,18.0,25.0,20.0,22.0,26.0,22.0,23.175,2.626
90,30.0,27.0,21.0,23.0,25.0,22.0,22.0,28.0,23.0,23.0,23.0,20.0,21.0,21.0,28.0,20.0,20.0,24.0,24.0,22.0,22.0,25.0,25.0,19.0,23.0,23.0,23.0,28.0,24.0,23.0,24.0,19.0,23.0,23.0,18.0,24.0,20.0,22.0,26.0,22.0,23.075,2.63
91,30.0,27.0,21.0,23.0,25.0,22.0,22.0,28.0,23.0,23.0,23.0,20.0,21.0,21.0,28.0,20.0,19.0,24.0,24.0,22.0,22.0,25.0,24.0,19.0,23.0,23.0,23.0,28.0,24.0,23.0,24.0,19.0,23.0,23.0,18.0,24.0,20.0,22.0,26.0,22.0,23.025,2.65
92,30.0,27.0,21.0,20.0,25.0,22.0,22.0,28.0,23.0,22.0,23.0,20.0,21.0,21.0,28.0,20.0,19.0,24.0,24.0,22.0,22.0,25.0,24.0,19.0,23.0,23.0,23.0,28.0,24.0,23.0,24.0,19.0,23.0,23.0,18.0,24.0,20.0,22.0,26.0,22.0,22.925,2.696
93,30.0,27.0,21.0,20.0,25.0,22.0,22.0,28.0,23.0,22.0,23.0,20.0,21.0,21.0,28.0,20.0,19.0,24.0,24.0,22.0,22.0,25.0,24.0,19.0,23.0,23.0,23.0,28.0,24.0,23.0,24.0,19.0,23.0,23.0,18.0,24.0,20.0,22.0,26.0,22.0,22.925,2.696
94,30.0,27.0,21.0,20.0,25.0,22.0,22.0,28.0,23.0,22.0,23.0,20.0,21.0,21.0,28.0,20.0,18.0,24.0,24.0,22.0,22.0,25.0,24.0,19.0,23.0,23.0,23.0,28.0,24.0,23.0,24.0,19.0,23.0,23.0,18.0,23.0,20.0,22.0,26.0,22.0,22.875,2.731
95,30.0,27.0,21.0,20.0,25.0,22.0,22.0,28.0,23.0,22.0,23.0,20.0,21.0,21.0,28.0,20.0,18.0,24.0,24.0,22.0,22.0,25.0,24.0,19.0,23.0,23.0,23.0,28.0,24.0,23.0,24.0,19.0,23.0,23.0,18.0,23.0,20.0,22.0,26.0,22.0,22.875,2.731
96,29.0,27.0,21.0,20.0,25.0,22.0,22.0,28.0,23.0,22.0,23.0,20.0,21.0,21.0,28.0,20.0,18.0,24.0,24.0,22.0,22.0,25.0,24.0,19.0,23.0,23.0,23.0,27.0,24.0,23.0,24.0,19.0,23.0,23.0,18.0,23.0,20.0,22.0,26.0,22.0,22.825,2.626
97,29.0,27.0,21.0,20.0,25.0,22.0,22.0,28.0,23.0,22.0,23.0,20.0,20.0,21.0,28.0,20.0,18.0,24.0,24.0,21.0,22.0,25.0,24.0,19.0,23.0,23.0,22.0,27.0,24.0,23.0,24.0,19.0,23.0,23.0,18.0,23.0,20.0,22.0,26.0,22.0,22.75,2.662
98,29.0,27.0,21.0,20.0,24.0,22.0,22.0,28.0,23.0,22.0,23.0,20.0,20.0,21.0,28.0,20.0,18.0,23.0,24.0,21.0,22.0,25.0,24.0,18.0,23.0,23.0,22.0,27.0,24.0,23.0,24.0,19.0,23.0,23.0,18.0,22.0,20.0,22.0,26.0,21.0,22.625,2.69
99,29.0,27.0,21.0,20.0,24.0,22.0,22.0,28.0,23.0,22.0,23.0,20.0,20.0,21.0,28.0,20.0,18.0,23.0,24.0,21.0,22.0,25.0,24.0,18.0,23.0,23.0,22.0,27.0,24.0,23.0,24.0,19.0,23.0,23.0,18.0,22.0,20.0,22.0,26.0,21.0,22.625,2.69
