Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
45,30.0,33.0,36.0,26.0,33.0,41.0,31.0,35.0,33.0,29.0,32.0,30.0,32.0,34.0,34.0,34.0,32.0,28.0,31.0,37.0,32.0,36.0,38.0,36.0,33.0,37.0,34.0,29.0,34.0,25.0,34.0,33.0,33.0,34.0,37.0,33.0,34.0,36.0,36.0,35.0,33.25,3.144
46,29.0,33.0,36.0,25.0,33.0,41.0,31.0,35.0,33.0,29.0,32.0,30.0,32.0,34.0,34.0,34.0,32.0,28.0,31.0,37.0,30.0,36.0,38.0,36.0,33.0,37.0,34.0,29.0,33.0,25.0,33.0,33.0,33.0,34.0,37.0,31.0,34.0,36.0,36.0,34.0,33.025,3.267
47,29.0,33.0,36.0,25.0,33.0,41.0,31.0,35.0,33.0,29.0,32.0,30.0,32.0,34.0,34.0,34.0,32.0,28.0,31.0,37.0,29.0,36.0,38.0,36.0,33.0,37.0,34.0,29.0,33.0,25.0,33.0,32.0,33.0,34.0,37.0,31.0,34.0,36.0,36.0,34.0,32.975,3.298
48,29.0,33.0,36.0,25.0,33.0,41.0,31.0,35.0,33.0,29.0,32.0,30.0,32.0,34.0,34.0,34.0,31.0,28.0,31.0,36.0,29.0,36.0,38.0,36.0,33.0,37.0,34.0,29.0,33.0,24.0,33.0,32.0,32.0,34.0,37.0,31.0,34.0,35.0,36.0,34.0,32.85,3.328
49,29.0,33.0,36.0,24.0,33.0,41.0,31.0,35.0,33.0,29.0,32.0,30.0,32.0,34.0,34.0,34.0,29.0,28.0,31.0,36.0,29.0,36.0,35.0,34.0,33.0,37.0,34.0,29.0,33.0,24.0,33.0,32.0,32.0,33.0,37.0,31.0,34.0,35.0,36.0,34.0,32.625,3.307
50,29.0,33.0,36.0,24.0,32.0,40.0,31.0,34.0,33.0,29.0,32.0,30.0,32.0,34.0,34.0,34.0,29.0,28.0,31.0,35.0,29.0,36.0,35.0,34.0,33.0,37.0,34.0,29.0,33.0,24.0,33.0,32.0,31.0,33.0,37.0,31.0,34.0,35.0,36.0,34.0,32.5,3.217
51,29.0,33.0,36.0,23.0,32.0,40.0,30.0,34.0,33.0,29.0,30.0,30.0,32.0,34.0,34.0,34.0,29.0,28.0,31.0,35.0,27.0,36.0,35.0,34.0,33.0,37.0,34.0,29.0,33.0,24.0,33.0,32.0,31.0,33.0,37.0,30.0,34.0,35.0,36.0,34.0,32.325,3.401
52,28.0,33.0,36.0,23.0,31.0,40.0,30.0,34.0,32.0,29.0,30.0,30.0,32.0,34.0,34.0,34.0,29.0,28.0,31.0,35.0,27.0,35.0,35.0,34.0,33.0,37.0,34.0,29.0,32.0,24.0,33.0,31.0,31.0,33.0,36.0,30.0,34.0,35.0,36.0,34.0,32.15,3.38
53,28.0,33.0,36.0,23.0,31.0,40.0,30.0,34.0,32.0,29.0,30.0,30.0,31.0,34.0,34.0,34.0,29.0,28.0,31.0,34.0,27.0,35.0,35.0,33.0,33.0,37.0,34.0,29.0,32.0,24.0,33.0,31.0,31.0,33.0,36.0,30.0,33.0,35.0,36.0,34.0,32.05,3.346
54,28.0,33.0,36.0,22.0,31.0,40.0,30.0,34.0,32.0,28.0,30.0,30.0,31.0,33.0,34.0,34.0,29.0,28.0,31.0,34.0,27.0,35.0,34.0,33.0,33.0,37.0,34.0,29.0,32.0,24.0,33.0,31.0,31.0,33.0,36.0,30.0,33.0,34.0,36.0,34.0,31.925,3.394
55,28.0,33.0,36.0,22.0,31.0,40.0,30.0,34.0,32.0,28.0,30.0,30.0,31.0,33.0,34.0,34.0,29.0,28.0,31.0,34.0,27.0,35.0,34.0,33.0,33.0,37.0,33.0,29.0,31.0,24.0,33.0,31.0,31.0,31.0,35.0,30.0,33.0,34.0,36.0,34.0,31.8,3.356
56,27.0,33.0,35.0,22.0,30.0,39.0,30.0,34.0,32.0,28.0,30.0,30.0,31.0,33.0,34.0,34.0,29.0,28.0,31.0,34.0,27.0,35.0,34.0,33.0,33.0,37.0,33.0,29.0,31.0,23.0,33.0,30.0,31.0,31.0,35.0,30.0,32.0,34.0,36.0,34.0,31.625,3.374
57,26.0,32.0,35.0,22.0,30.0,39.0,30.0,34.0,32.0,28.0,30.0,30.0,31.0,32.0,33.0,34.0,28.0,28.0,29.0,33.0,27.0,35.0,34.0,33.0,33.0,37.0,33.0,29.0,31.0,23.0,33.0,30.0,31.0,31.0,35.0,29.0,32.0,34.0,36.0,34.0,31.4,3.426
58,26.0,32.0,35.0,22.0,29.0,39.0,30.0,33.0,32.0,28.0,30.0,30.0,31.0,32.0,33.0,34.0,28.0,28.0,29.0,33.0,27.0,35.0,33.0,32.0,33.0,37.0,33.0,29.0,31.0,23.0,33.0,30.0,31.0,31.0,34.0,29.0,31.0,34.0,36.0,34.0,31.25,3.375
59,26.0,32.0,35.0,22.0,28.0,38.0,30.0,33.0,32.0,27.0,30.0,30.0,31.0,31.0,33.0,34.0,28.0,28.0,29.0,33.0,27.0,35.0,33.0,32.0,33.0,37.0,33.0,29.0,31.0,23.0,32.0,30.0,31.0,31.0,34.0,29.0,31.0,34.0,36.0,34.0,31.125,3.355
60,26.0,32.0,35.0,22.0,28.0,38.0,30.0,33.0,32.0,27.0,30.0,30.0,31.0,31.0,33.0,32.0,28.0,28.0,29.0,33.0,27.0,35.0,33.0,32.0,33.0,37.0,33.0,29.0,31.0,23.0,32.0,30.0,31.0,31.0,34.0,29.0,31.0,34.0,36.0,34.0,31.075,3.327
61,26.0,32.0,34.0,22.0,27.0,38.0,30.0,32.0,32.0,27.0,30.0,30.0,31.0,31.0,33.0,32.0,28.0,28.0,29.0,33.0,27.0,35.0,33.0,32.0,33.0,37.0,33.0,29.0,31.0,23.0,32.0,30.0,31.0,31.0,34.0,29.0,30.0,34.0,36.0,34.0,30.975,3.32
62,26.0,32.0,34.0,22.0,27.0,38.0,30.0,32.0,32.0,27.0,30.0,30.0,31.0,29.0,33.0,32.0,28.0,28.0,29.0,33.0,27.0,34.0,33.0,31.0,33.0,37.0,33.0,29.0,31.0,23.0,31.0,30.0,31.0,31.0,33.0,29.0,30.0,34.0,36.0,34.0,30.825,3.278
63,26.0,32.0,34.0,22.0,27.0,38.0,30.0,32.0,32.0,27.0,30.0,30.0,31.0,29.0,33.0,32.0,28.0,28.0,29.0,33.0,27.0,34.0,33.0,31.0,33.0,37.0,33.0,29.0,30.0,23.0,31.0,30.0,31.0,31.0,33.0,29.0,30.0,34.0,36.0,33.0,30.775,3.26
64,25.0,32.0,33.0,22.0,26.0,37.0,30.0,32.0,32.0,27.0,30.0,30.0,31.0,29.0,33.0,32.0,28.0,27.0,29.0,31.0,27.0,34.0,33.0,31.0,33.0,37.0,33.0,29.0,30.0,23.0,31.0,30.0,31.0,31.0,33.0,29.0,30.0,34.0,36.0,33.0,30.6,3.262
65,25.0,32.0,33.0,22.0,26.0,37.0,30.0,32.0,32.0,26.0,30.0,30.0,31.0,29.0,33.0,32.0,28.0,27.0,28.0,31.0,27.0,34.0,33.0,31.0,33.0,37.0,33.0,29.0,30.0,23.0,30.0,29.0,31.0,31.0,33.0,29.0,30.0,33.0,36.0,33.0,30.475,3.294
66,25.0,32.0,33.0,22.0,26.0,37.0,30.0,32.0,32.0,26.0,30.0,30.0,31.0,28.0,33.0,31.0,28.0,27.0,28.0,31.0,27.0,34.0,33.0,31.0,33.0,37.0,33.0,29.0,29.0,23.0,30.0,29.0,31.0,30.0,33.0,29.0,30.0,33.0,36.0,33.0,30.375,3.307
67,25.0,32.0,33.0,22.0,26.0,36.0,30.0,32.0,32.0,26.0,30.0,29.0,31.0,28.0,33.0,31.0,28.0,27.0,28.0,31.0,27.0,32.0,33.0,29.0,33.0,37.0,32.0,29.0,28.0,23.0,30.0,29.0,31.0,30.0,32.0,28.0,30.0,33.0,36.0,33.0,30.125,3.219
68,25.0,32.0,33.0,22.0,26.0,36.0,30.0,31.0,32.0,26.0,30.0,29.0,31.0,28.0,33.0,31.0,28.0,27.0,28.0,31.0,27.0,32.0,33.0,29.0,33.0,37.0,32.0,29.0,28.0,23.0,30.0,29.0,31.0,29.0,32.0,28.0,29.0,33.0,36.0,33.0,30.05,3.217
69,25.0,32.0,33.0,22.0,26.0,36.0,29.0,31.0,32.0,26.0,30.0,29.0,31.0,28.0,33.0,31.0,28.0,27.0,28.0,31.0,27.0,32.0,32.0,29.0,33.0,37.0,32.0,29.0,28.0,23.0,30.0,29.0,31.0,29.0,32.0,28.0,29.0,33.0,36.0,33.0,30.0,3.202
70,25.0,32.0,33.0,22.0,26.0,34.0,29.0,31.0,32.0,26.0,30.0,29.0,31.0,28.0,32.0,31.0,28.0,27.0,28.0,30.0,27.0,32.0,32.0,29.0,33.0,37.0,32.0,29.0,28.0,23.0,30.0,27.0,31.0,29.0,32.0,28.0,29.0,33.0,36.0,33.0,29.85,3.127
71,25.0,32.0,33.0,22.0,26.0,33.0,29.0,31.0,32.0,26.0,30.0,29.0,31.0,28.0,32.0,31.0,28.0,27.0,28.0,30.0,27.0,32.0,32.0,28.0,33.0,37.0,32.0,29.0,28.0,23.0,30.0,27.0,31.0,29.0,31.0,28.0,29.0,33.0,36.0,33.0,29.775,3.094
72,25.0,32.0,33.0,22.0,26.0,33.0,29.0,31.0,31.0,26.0,30.0,29.0,31.0,28.0,32.0,31.0,28.0,27.0,28.0,30.0,27.0,32.0,31.0,28.0,33.0,37.0,32.0,29.0,28.0,23.0,30.0,27.0,31.0,29.0,30.0,27.0,29.0,33.0,36.0,33.0,29.675,3.077
73,25.0,32.0,33.0,22.0,26.0,33.0,29.0,31.0,31.0,26.0,30.0,29.0,31.0,28.0,32.0,31.0,28.0,27.0,28.0,30.0,27.0,31.0,31.0,28.0,33.0,37.0,32.0,29.0,28.0,23.0,30.0,27.0,31.0,29.0,30.0,27.0,29.0,33.0,36.0,33.0,29.65,3.062
74,25.0,32.0,33.0,22.0,25.0,33.0,29.0,31.0,31.0,26.0,30.0,29.0,31.0,28.0,32.0,31.0,28.0,26.0,28.0,30.0,27.0,31.0,31.0,28.0,33.0,37.0,32.0,28.0,28.0,23.0,30.0,27.0,31.0,29.0,30.0,27.0,29.0,33.0,36.0,33.0,29.575,3.13
75,25.0,32.0,33.0,22.0,25.0,33.0,29.0,31.0,31.0,26.0,30.0,29.0,31.0,28.0,31.0,31.0,28.0,26.0,28.0,29.0,27.0,31.0,30.0,28.0,33.0,37.0,32.0,28.0,26.0,23.0,30.0,27.0,31.0,29.0,30.0,27.0,29.0,33.0,36.0,33.0,29.45,3.146
76,25.0,32.0,33.0,21.0,25.0,33.0,29.0,31.0,29.0,26.0,30.0,29.0,31.0,28.0,31.0,30.0,28.0,26.0,28.0,29.0,27.0,31.0,30.0,28.0,33.0,37.0,32.0,28.0,26.0,22.0,30.0,27.0,31.0,29.0,30.0,27.0,29.0,33.0,36.0,33.0,29.325,3.243
77,25.0,32.0,33.0,21.0,25.0,33.0,29.0,31.0,29.0,26.0,29.0,28.0,31.0,28.0,31.0,30.0,28.0,26.0,28.0,29.0,27.0,31.0,30.0,28.0,33.0,36.0,31.0,28.0,26.0,22.0,30.0,27.0,31.0,28.0,30.0,26.0,29.0,33.0,36.0,33.0,29.175,3.201
