Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
41,8.0,8.0,10.0,7.0,12.0,7.0,12.0,11.0,10.0,9.0,9.0,10.0,14.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,11.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,9.5,1.432
42,8.0,8.0,10.0,7.0,12.0,7.0,12.0,11.0,10.0,9.0,7.0,10.0,14.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,9.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,9.4,1.463
43,7.0,8.0,10.0,7.0,12.0,7.0,12.0,11.0,10.0,9.0,7.0,10.0,14.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,9.325,1.506
44,7.0,8.0,10.0,7.0,12.0,7.0,12.0,11.0,10.0,9.0,7.0,10.0,14.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,9.3,1.52
45,7.0,8.0,10.0,7.0,9.0,7.0,12.0,11.0,10.0,9.0,7.0,10.0,14.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,9.225,1.458
46,7.0,8.0,10.0,7.0,9.0,7.0,12.0,11.0,10.0,9.0,7.0,10.0,13.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,9.2,1.382
47,6.0,8.0,10.0,7.0,9.0,7.0,11.0,11.0,10.0,9.0,7.0,10.0,13.0,8.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,9.125,1.4
48,6.0,8.0,10.0,7.0,9.0,7.0,11.0,11.0,10.0,9.0,7.0,10.0,12.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,9.075,1.33
49,6.0,8.0,10.0,7.0,9.0,7.0,11.0,11.0,10.0,9.0,7.0,10.0,12.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,9.075,1.33
50,6.0,8.0,10.0,7.0,9.0,7.0,11.0,10.0,10.0,9.0,7.0,10.0,11.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,8.0,9.0,1.265
51,6.0,8.0,10.0,7.0,9.0,6.0,11.0,10.0,10.0,9.0,7.0,10.0,11.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,8.0,8.975,1.313
52,6.0,8.0,10.0,7.0,9.0,6.0,11.0,10.0,10.0,9.0,7.0,10.0,11.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,8.0,8.9,1.356
53,6.0,8.0,10.0,7.0,9.0,6.0,11.0,10.0,10.0,9.0,7.0,10.0,11.0,8.0,9.0,9.0,9.0,8.0,7.0,10.0,10.0,8.0,7.0,7.0,8.0,9.0,8.0,8.0,9.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,8.0,8.85,1.388
54,6.0,8.0,10.0,7.0,9.0,6.0,10.0,10.0,10.0,9.0,7.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,7.0,10.0,10.0,8.0,7.0,7.0,8.0,9.0,8.0,8.0,8.0,11.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,8.0,8.725,1.323
